timestamp_utc,instrument_symbol,open_price,high_price,low_price,close_price,interval_traded_volume,bid_volume_level_1,ask_volume_level_1,bid_distance_level_1,ask_distance_level_1,bid_volume_level_2,ask_volume_level_2,bid_distance_level_2,ask_distance_level_2,bid_volume_level_3,ask_volume_level_3,bid_distance_level_3,ask_distance_level_3,bid_volume_level_4,ask_volume_level_4,bid_distance_level_4,ask_distance_level_4,bid_volume_level_5,ask_volume_level_5,bid_distance_level_5,ask_distance_level_5,bid_volume_level_6,ask_volume_level_6,bid_distance_level_6,ask_distance_level_6,bid_volume_level_7,ask_volume_level_7,bid_distance_level_7,ask_distance_level_7,bid_volume_level_8,ask_volume_level_8,bid_distance_level_8,ask_distance_level_8,bid_volume_level_9,ask_volume_level_9,bid_distance_level_9,ask_distance_level_9,bid_volume_level_10,ask_volume_level_10,bid_distance_level_10,ask_distance_level_10
2026-02-14T23:55:00Z,BTC-USDT,69783.5,69783.5,69783.5,69783.5,4.67706,9.28831,0.06581,0.0717,0.0717,9.35202,0.07642,0.215,0.215,11.19078,0.07658,0.3583,0.3583,11.40621,0.08055,0.5016,0.5016,13.78742,1.15605,0.6449,0.6449,17.93806,1.37273,0.7882,0.7882,22.21012,1.74206,0.9315,0.9315,23.214,1.74466,1.0748,1.0748,26.79998,3.17747,1.2181,1.2181,27.99949,3.50627,1.3614,1.3614
2026-02-15T00:00:00Z,BTC-USDT,69786.5,69786.5,69786.5,69786.5,2.60382,0.97045,4.23719,0.0716,0.0716,0.9706,4.32912,0.2149,0.2149,3.09841,4.53668,0.3582,0.3582,4.37697,4.53697,0.5015,0.5015,4.37864,4.53719,0.6448,0.6448,4.42452,4.93671,0.9314,0.7881,6.79407,5.54067,1.0747,0.9314,7.3516,6.67628,1.218,1.0747,12.1432,11.0566,1.3613,1.218,14.00225,12.45483,1.5046,1.3613
2026-02-15T00:05:00Z,BTC-USDT,69750.5,69750.5,69750.5,69750.5,2.3,1.2446,3.3554,0.0717,0.0717,1.25327,3.35571,0.3584,0.2151,2.69287,3.35952,0.5018,0.3584,4.27692,3.52298,0.6452,0.5018,4.27708,3.52441,0.7885,0.6452,4.53585,4.02832,0.9319,0.7885,4.62049,5.10977,1.0753,0.9319,6.84518,6.20701,1.2186,1.0753,7.34778,10.00553,1.362,1.2186,10.98444,15.27009,1.5054,1.5054
2026-02-15T00:10:00Z,BTC-USDT,69658.5,69658.5,69658.5,69658.5,3.298635,0.21102,6.38625,0.0718,0.0718,0.22468,7.81451,0.3589,0.2153,0.32781,8.89578,0.5025,0.3589,0.33041,11.12451,0.646,0.5025,0.3759,13.3396,0.7896,0.646,0.59249,16.05457,0.9331,0.7896,1.69396,20.63488,1.0767,0.9331,1.84033,21.69021,1.2202,1.0767,4.78322,25.55231,1.3638,1.2202,5.86364,25.82007,1.5074,1.3638
2026-02-15T00:15:00Z,BTC-USDT,69733.5,69733.5,69733.5,69733.5,6.93894,12.43703,1.44085,0.0717,0.0717,14.79136,1.44449,0.2151,0.2151,16.17744,1.44486,0.3585,0.6453,17.68383,1.50677,0.5019,0.7887,19.54596,1.51022,0.6453,0.9321,23.37647,1.51166,0.7887,1.0755,23.43962,1.79619,0.9321,1.2189,28.44478,2.01152,1.0755,1.3623,31.08927,2.57404,1.2189,1.5057,33.24653,2.57426,1.3623,1.6491
2026-02-15T00:20:00Z,BTC-USDT,69657.5,69657.5,69657.5,69657.5,5.197435,2.16432,8.23055,0.0718,0.0718,2.16463,8.23222,0.2153,0.2153,3.24188,8.79911,0.646,0.3589,3.24488,8.85817,0.7896,0.5025,3.24602,8.85839,0.9331,0.646,5.40043,10.00463,1.0767,0.7896,6.04683,10.22142,1.2203,0.9331,6.04827,12.9363,1.3638,1.0767,6.11442,14.4146,1.5074,1.2203,9.3878,14.44973,1.6509,1.3638
2026-02-15T00:25:00Z,BTC-USDT,69658.5,69658.5,69658.5,69658.5,11.009545,22.01809,0.001,0.0718,0.0718,25.57449,0.00415,0.2153,0.2153,33.11575,0.00437,0.3589,0.5025,33.56902,0.00573,0.5025,0.7896,34.82748,0.00827,0.646,0.9331,39.20601,0.06926,0.9331,1.0767,39.85675,0.07326,1.0767,1.2202,39.86306,0.077,1.2202,1.5074,41.17018,0.0776,1.3638,1.6509,43.39679,0.18332,1.5074,1.7945
2026-02-15T00:30:00Z,BTC-USDT,69650.5,69650.5,69650.5,69650.5,4.024145,2.17431,5.87398,0.0718,0.0718,3.29163,6.09139,0.2154,0.2154,3.45531,6.24269,0.3589,0.5025,4.83949,7.95023,0.5025,0.9332,6.20532,9.35183,0.6461,1.364,6.40532,11.07533,0.7897,1.5075,8.12944,13.59813,0.9332,1.6511,8.82847,13.97037,1.0768,1.7947,9.90598,13.97275,1.2204,2.0818,10.17603,17.41951,1.364,2.2254
2026-02-15T00:35:00Z,BTC-USDT,69605.5,69605.5,69605.5,69605.5,0.92388,1.78553,0.06223,0.0718,0.0718,3.9795,0.0751,0.2155,0.2155,5.09774,0.13602,0.3592,0.3592,10.75676,0.13755,0.5028,0.5028,12.00531,0.28993,0.6465,0.6465,13.68342,0.29315,0.7902,0.7902,14.42027,0.29458,0.9338,0.9338,22.18549,0.54366,1.0775,1.0775,23.31988,0.70454,1.2212,1.2212,23.92168,1.78247,1.3648,1.3648
2026-02-15T00:40:00Z,BTC-USDT,69602.5,69602.5,69602.5,69602.5,8.69534,0.00072,17.38996,0.0718,0.0718,0.0022,20.77816,0.2155,0.2155,0.00746,20.77831,0.6465,0.3592,0.00761,25.00113,0.7902,0.5029,0.07361,27.46399,0.9339,0.6465,0.07999,30.04631,1.0775,0.7902,2.1892,32.48534,1.2212,0.9339,3.49839,32.50262,1.3649,1.0775,5.72711,33.8292,1.5086,1.2212,9.61683,40.69748,1.6522,1.3649
2026-02-15T00:45:00Z,BTC-USDT,69634.5,69634.5,69634.5,69634.5,4.19047,8.20489,0.17605,0.0718,0.0718,10.75585,0.17689,0.2154,0.2154,15.06344,0.26129,0.5026,0.6462,19.66515,0.26486,0.6462,0.7898,19.95528,0.31197,0.7898,0.9334,22.89913,0.51871,0.9334,1.0771,23.58081,0.74093,1.0771,1.2207,24.92139,0.95952,1.2207,1.3643,28.89061,1.74315,1.3643,1.5079,31.25985,4.37704,1.5079,1.6515
2026-02-15T00:50:00Z,BTC-USDT,69701.5,69701.5,69701.5,69701.5,4.29065,4.39877,4.18253,0.0717,0.0717,4.40289,4.18275,0.2152,0.2152,5.48206,4.18347,0.3587,0.3587,7.20515,4.38412,0.5021,0.5021,9.84851,4.60976,0.6456,0.6456,12.03514,5.69742,0.7891,0.7891,16.53334,5.97936,0.9325,0.9325,21.41742,6.26361,1.076,1.076,22.72495,6.32517,1.2195,1.2195,24.14123,6.87446,1.363,1.363
2026-02-15T00:55:00Z,BTC-USDT,69744.5,69744.5,69744.5,69744.5,1.620555,1.94176,1.29935,0.0717,0.0717,2.10774,1.30188,0.2151,0.2151,3.45553,1.3021,0.3585,0.3585,3.45632,1.5899,0.5018,0.5018,8.11285,2.88419,0.6452,0.6452,11.56089,3.20743,0.7886,0.7886,13.52619,3.22441,0.932,0.932,13.74495,3.33331,1.0754,1.0754,15.05016,3.91065,1.2187,1.2187,20.40597,5.25625,1.3621,1.3621
2026-02-15T01:00:00Z,BTC-USDT,69773.5,69773.5,69773.5,69773.5,5.234005,4.13817,6.32984,0.0717,0.0717,5.2162,6.32999,0.215,0.215,5.8166,6.33152,0.3583,0.5016,9.47331,6.33674,0.5016,0.7883,9.67591,6.5509,0.6449,0.9316,12.34756,6.55112,0.7883,1.0749,15.58853,6.85766,0.9316,1.3615,18.32335,6.86083,1.0749,1.5049,19.51602,7.39318,1.2182,1.6482,19.72457,8.92244,1.3615,1.7915
2026-02-15T01:05:00Z,BTC-USDT,69854.5,69854.5,69854.5,69854.5,4.76728,0.63982,8.89474,0.0716,0.0716,0.69013,9.16329,0.2147,0.2147,1.76479,9.76144,0.501,0.3579,1.95645,10.58127,0.7874,0.501,3.065,10.79966,0.9305,0.6442,3.39306,11.23317,1.0737,0.7874,4.86066,18.17868,1.2168,0.9305,5.886,20.07044,1.36,1.0737,8.24965,21.22333,1.5031,1.2168,10.49399,24.23284,1.6463,1.36
2026-02-15T01:10:00Z,BTC-USDT,69871.5,69871.5,69871.5,69871.5,12.17646,21.78433,2.56859,0.0716,0.0716,22.4257,2.56938,0.2147,0.3578,23.64507,2.57504,0.3578,0.5009,23.84559,4.22726,0.5009,0.644,27.81767,4.2312,0.644,0.7872,31.5031,5.5849,0.7872,0.9303,33.02388,5.58547,0.9303,1.0734,34.1091,6.92416,1.0734,1.2165,34.36011,8.35696,1.2165,1.3596,38.12211,10.72821,1.3596,1.5028
2026-02-15T01:15:00Z,BTC-USDT,69805.5,69805.5,69805.5,69805.5,5.853105,0.01789,11.68832,0.0716,0.0716,0.186,12.17452,0.2149,0.2149,0.24734,12.36788,0.3581,0.3581,0.26796,12.42975,0.5014,0.5014,0.28745,15.6444,0.6446,0.6446,0.31491,20.1412,0.7879,0.7879,0.56109,20.72028,0.9312,0.9312,1.54702,23.41831,1.0744,1.0744,2.68916,26.93356,1.2177,1.2177,6.10545,31.24718,1.3609,1.3609
2026-02-15T01:20:00Z,BTC-USDT,69542.5,69542.5,69542.5,69542.5,2.160505,1.22009,3.10092,0.0719,0.0719,1.22066,3.48418,0.2157,0.2157,15.22486,3.59284,0.5033,0.3595,15.22559,3.80832,0.6471,0.5033,16.66438,4.9507,0.7909,0.6471,18.78869,6.24543,0.9347,0.7909,19.86786,7.06322,1.0785,0.9347,23.44851,7.06679,1.2223,1.0785,24.9049,10.1106,1.3661,1.2223,25.76812,13.94107,1.5099,1.3661
2026-02-15T01:25:00Z,BTC-USDT,69507.5,69507.5,69507.5,69507.5,6.81239,0.00322,13.62156,0.0719,0.0719,0.1957,16.18885,0.2158,0.2158,0.19592,43.4674,0.5035,0.3597,0.19607,46.09577,0.6474,0.5035,0.19929,85.28579,0.7913,0.6474,0.19951,92.49788,1.079,0.7913,0.19966,106.8987,1.3668,0.9352,0.39236,107.60836,1.5106,1.079,0.3935,107.61232,1.6545,1.2229,0.59051,111.73956,1.7984,1.3668
2026-02-15T01:30:00Z,BTC-USDT,69481.0,69481.0,69481.0,69481.0,0.192815,0.00238,0.38325,0.1439,0.1439,0.02594,1.44574,0.2878,0.2878,0.2228,3.17594,0.4318,0.4318,1.65245,6.45115,0.5757,0.5757,1.90276,7.22186,0.7196,0.7196,5.19527,11.30335,0.8635,0.8635,5.40353,14.2999,1.0075,1.0075,5.40591,24.63963,1.1514,1.1514,5.51334,25.15208,1.2953,1.2953,9.25839,28.03352,1.4392,1.4392
2026-02-15T01:35:00Z,BTC-USDT,69577.5,69577.5,69577.5,69577.5,5.089855,0.02062,10.15909,0.0719,0.0719,0.02207,10.1594,0.2156,0.2156,0.27463,12.02212,0.9342,0.3593,0.27701,16.59927,1.0779,0.503,1.38239,17.78797,1.2217,0.6468,2.486,17.78819,1.5091,0.9342,2.75581,24.66525,1.6528,1.0779,5.27271,27.75665,1.7966,1.2217,5.49568,28.77029,1.9403,1.3654,6.46656,30.19592,2.084,1.5091
2026-02-15T01:40:00Z,BTC-USDT,69365.5,69365.5,69365.5,69365.5,9.07239,17.99495,0.14983,0.0721,0.0721,21.23985,0.14998,0.2162,0.2162,21.43495,0.15298,0.3604,0.3604,22.72208,0.3098,0.5046,0.6487,22.9221,0.30995,0.6487,0.7929,23.46703,0.31295,0.7929,1.0812,27.06419,0.31317,0.9371,1.3696,27.28668,0.31432,1.0812,1.5137,27.48968,0.31806,1.2254,1.6579,29.55873,0.84112,1.3696,1.802
2026-02-15T01:45:00Z,BTC-USDT,69475.5,69475.5,69475.5,69475.5,8.864195,16.14598,1.58241,0.072,0.072,17.22756,1.58439,0.2159,0.2159,18.74558,1.64616,0.3598,0.3598,19.45623,1.64931,0.5038,0.5038,21.9774,1.67538,0.6477,0.6477,22.27665,1.791,0.7916,0.7916,22.64977,1.8986,0.9356,0.9356,22.7015,1.99367,1.0795,1.0795,23.71418,1.99705,1.3674,1.2235,24.3774,2.56939,1.5113,1.3674
2026-02-15T01:50:00Z,BTC-USDT,69563.5,69563.5,69563.5,69563.5,8.15742,0.00238,16.31246,0.0719,0.0719,0.0633,18.46872,0.2156,0.2156,3.6661,18.58109,0.5031,0.3594,3.86746,18.643,0.6469,0.5031,5.19252,18.85928,0.7906,0.6469,5.21798,19.50011,0.9344,0.7906,6.41177,25.288,1.0782,0.9344,6.41499,25.29038,1.2219,1.0782,6.6831,27.0185,1.3657,1.2219,10.63805,29.75829,1.5094,1.3657
2026-02-15T01:55:00Z,BTC-USDT,69680.5,69680.5,69680.5,69680.5,6.168435,0.59572,11.74115,0.0718,0.0718,1.67395,11.94079,0.2153,0.2153,1.67815,11.94223,0.3588,0.3588,1.68173,12.18124,0.5023,0.5023,1.68411,12.18146,0.7893,0.6458,6.55354,13.32144,0.9328,0.7893,8.23058,13.88823,1.0763,0.9328,9.87704,14.83416,1.2199,1.0763,12.48842,18.18588,1.3634,1.2199,13.98864,22.64683,1.5069,1.3634
2026-02-15T02:00:00Z,BTC-USDT,69608.5,69608.5,69608.5,69608.5,11.039315,22.07325,0.00538,0.0718,0.0718,22.29591,0.00791,0.2155,0.2155,27.04606,0.00844,0.3592,0.3592,28.54365,0.0721,0.5028,0.6465,30.08626,0.08024,0.6465,0.7901,32.17708,0.08524,0.7901,0.9338,32.46443,0.08575,0.9338,1.0775,35.49148,0.30415,1.0775,1.2211,38.94446,0.63955,1.2211,1.3648,40.99467,0.64069,1.3648,1.5084
2026-02-15T02:05:00Z,BTC-USDT,69471.5,69471.5,69471.5,69471.5,3.032115,5.85024,0.21399,0.072,0.072,5.87026,0.21465,0.2159,0.2159,5.88497,0.2178,0.3599,0.3599,7.66004,0.21802,0.5038,0.6477,8.08395,0.42386,0.6477,0.7917,9.33944,1.77038,0.7917,0.9356,9.45441,1.77483,0.9356,1.0796,9.79053,2.21119,1.0796,1.2235,16.28106,2.8922,1.2235,1.3675,16.39489,4.90816,1.3675,1.5114
2026-02-15T02:10:00Z,BTC-USDT,69511.5,69511.5,69511.5,69511.5,6.681805,0.07659,13.28702,0.0719,0.0719,0.07675,29.55305,0.2158,0.2158,1.16084,39.53272,0.3597,0.3597,1.16322,40.25568,0.5035,0.5035,1.36344,40.27035,0.6474,0.6474,1.36444,42.86069,0.7912,0.7912,1.58035,46.48688,0.9351,0.9351,1.88239,47.04266,1.079,1.079,3.08222,49.10162,1.2228,1.2228,3.79454,50.44744,1.3667,1.3667
2026-02-15T02:15:00Z,BTC-USDT,69488.5,69488.5,69488.5,69488.5,1.592815,2.11462,1.07101,0.072,0.072,2.32501,3.22963,0.2159,0.2159,2.41487,3.22978,0.3598,0.3598,2.42381,3.29155,0.5037,0.5037,5.88078,3.57943,0.6476,0.6476,6.96314,5.06444,0.7915,0.9354,7.06472,6.14432,0.9354,1.2232,7.08694,8.24961,1.0793,1.3671,17.61189,8.92821,1.2232,1.7989,17.82924,13.60867,1.3671,1.9428
2026-02-15T02:20:00Z,BTC-USDT,69385.5,69385.5,69385.5,69385.5,15.29729,30.5891,0.00548,0.0721,0.0721,34.84818,0.00579,0.2162,0.2162,35.54574,0.00601,0.3603,0.5044,38.00512,0.02901,0.5044,0.6486,42.22597,0.03061,0.6486,0.7927,43.18958,0.03197,0.7927,1.0809,43.43319,0.03435,0.9368,1.225,43.43341,0.03735,1.0809,1.3692,53.78073,0.03757,1.225,1.5133,54.2208,0.09849,1.3692,1.6574
2026-02-15T02:25:00Z,BTC-USDT,69439.5,69439.5,69439.5,69439.5,14.55273,0.00208,29.10338,0.072,0.072,0.00223,40.46061,0.216,0.216,0.00245,42.37611,0.648,0.36,0.50577,47.86669,0.7921,0.504,0.56976,48.1003,0.9361,0.648,2.28833,48.3017,1.2241,0.7921,3.67154,48.35825,1.3681,0.9361,4.23316,49.35713,1.5121,1.0801,5.56046,54.84524,1.6561,1.2241,5.75032,57.07172,1.8001,1.3681
2026-02-15T02:30:00Z,BTC-USDT,69453.5,69453.5,69453.5,69453.5,5.46102,8.84963,2.07241,0.072,0.072,9.45301,2.2624,0.216,0.216,10.71887,2.84904,0.36,0.5039,12.94776,2.85018,0.5039,0.6479,13.23586,2.85898,0.6479,0.9359,18.56621,2.96937,0.7919,1.0799,19.81022,4.69813,0.9359,1.2238,19.94031,6.15987,1.0799,1.3678,23.3981,6.21674,1.2238,1.5118,26.25953,7.61524,1.3678,1.6558
2026-02-15T02:35:00Z,BTC-USDT,69498.5,69498.5,69498.5,69498.5,3.461265,2.1705,4.75203,0.0719,0.0719,4.18545,4.75383,0.2158,0.3597,4.19424,4.75669,0.3597,0.5036,4.30732,4.97767,0.5036,0.6475,4.30985,4.98485,0.6475,0.7914,5.46179,4.99276,0.7914,0.9353,6.07603,7.84087,0.9353,1.0792,7.35014,9.78427,1.0792,1.223,8.1117,9.78563,1.223,1.3669,10.39176,11.93336,1.3669,1.5108
2026-02-15T02:40:00Z,BTC-USDT,69466.5,69466.5,69466.5,69466.5,17.031715,34.06305,0.00038,0.072,0.072,35.98512,0.00353,0.2159,0.2159,37.09869,0.00375,0.3599,0.3599,37.25746,0.00391,0.5038,0.5038,42.65841,0.00413,0.6478,0.6478,43.8139,0.00435,0.7917,0.9357,47.94058,0.00735,0.9357,1.2236,51.10352,0.00772,1.0797,1.3676,56.30858,0.21167,1.2236,1.6555,56.4127,0.21267,1.3676,1.7994
2026-02-15T02:45:00Z,BTC-USDT,69411.5,69411.5,69411.5,69411.5,8.970945,17.94029,0.0016,0.072,0.072,19.79154,0.10748,0.2161,0.2161,20.93701,0.1077,0.3602,0.3602,22.08023,0.11023,0.5042,0.5042,26.17713,0.11402,0.6483,0.6483,26.95315,0.11597,0.7924,0.9364,28.87019,0.11835,0.9364,1.0805,30.22402,0.11963,1.0805,1.2246,32.4709,0.18119,1.2246,1.3686,36.70342,2.71008,1.3686,1.5127
2026-02-15T02:50:00Z,BTC-USDT,69482.5,69482.5,69482.5,69482.5,5.349485,0.1834,10.51557,0.072,0.072,0.24554,12.01931,0.2159,0.2159,0.95753,12.33228,0.3598,0.3598,3.32894,13.45762,0.5037,0.5037,3.72452,13.68649,0.6476,0.6476,5.43289,17.07697,0.7916,0.7916,6.76942,22.26432,0.9355,0.9355,7.32916,22.26754,1.0794,1.0794,9.19168,23.65694,1.2233,1.2233,9.62791,29.07645,1.3673,1.3673
2026-02-15T02:55:00Z,BTC-USDT,69454.5,69454.5,69454.5,69454.5,11.95136,4e-05,23.90268,0.072,0.072,0.00019,31.76605,0.216,0.216,0.06111,32.92079,0.6479,0.3599,0.06411,33.137,0.7919,0.5039,0.06527,36.37809,0.9359,0.6479,0.2623,37.33839,1.0798,0.7919,1.3888,38.71662,1.2238,0.9359,1.39017,40.17063,1.3678,1.0798,1.99275,50.49615,1.5118,1.2238,2.20885,50.49853,1.6558,1.3678
2026-02-15T03:00:00Z,BTC-USDT,69520.5,69520.5,69520.5,69520.5,20.546535,40.98545,0.10762,0.0719,0.0719,42.85251,0.11355,0.2158,0.2158,43.10958,0.11403,0.3596,0.3596,43.53262,0.12308,0.5034,0.5034,47.73017,0.7277,0.6473,0.7911,49.58538,0.78847,0.7911,0.935,49.79676,0.78862,0.935,1.0788,51.96015,0.78884,1.0788,1.2227,52.17137,0.79155,1.2227,1.3665,56.4007,0.79277,1.3665,1.5103
2026-02-15T03:05:00Z,BTC-USDT,69565.5,69565.5,69565.5,69565.5,1.54651,0.05238,3.04064,0.0719,0.0719,0.05253,6.12797,0.2156,0.2156,0.10371,6.18229,0.5031,0.3594,0.2674,6.18308,0.6469,0.6469,0.44266,8.13667,0.7906,0.7906,0.50343,14.16233,0.9344,0.9344,0.82562,17.95753,1.0781,1.0781,1.90559,19.04344,1.2219,1.2219,2.98437,22.49549,1.3656,1.3656,2.98774,26.7546,1.5094,1.5094
2026-02-15T03:10:00Z,BTC-USDT,69438.5,69438.5,69438.5,69438.5,11.279725,7.7236,14.83585,0.072,0.072,8.21506,18.59005,0.216,0.216,8.21613,18.70076,0.36,0.36,9.87571,19.41282,0.504,0.6481,10.08387,21.19283,0.6481,0.9361,10.12589,22.27579,0.7921,1.0801,11.47816,22.30085,0.9361,1.2241,12.37038,27.48324,1.0801,1.3681,12.59305,27.78843,1.2241,1.5121,19.78121,29.23142,1.3681,1.6561
